Country,Library,LC Class,1 Holding,2 Holdings,3 Holdings,4 Holdings,5 Holdings,6 Holdings,7 Holdings,8 Holdings,9 Holdings,10 Holdings,11 Holdings,12 Holdings,13 Holdings,14 Holdings,15 Holdings
Argentina,IUL,A,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0
Argentina,IUL,B,14,14,13,24,15,13,4,3,0,0,0,0,0,0,0
Argentina,IUL,C,3,4,2,0,2,1,0,2,0,0,0,0,0,0,0
Argentina,IUL,D,1,4,3,5,1,4,5,1,0,0,0,0,0,0,0
Argentina,IUL,E,3,4,2,1,5,2,1,0,1,0,0,0,0,0,0
Argentina,IUL,F,140,121,138,169,175,170,60,26,14,9,3,2,0,0,0
Argentina,IUL,G,5,10,7,8,4,5,3,0,0,0,0,0,0,0,0
Argentina,IUL,H,79,84,78,109,128,121,50,25,13,7,4,0,0,0,0
Argentina,IUL,J,24,18,22,27,37,30,12,3,2,2,0,0,0,0,0
Argentina,IUL,K,7,6,4,5,4,4,1,0,0,0,0,0,0,0,0
Argentina,IUL,L,5,7,8,6,3,1,3,1,0,0,0,0,0,0,0
Argentina,IUL,M,13,8,2,4,3,2,5,0,0,0,0,0,0,0,0
Argentina,IUL,N,13,4,7,9,5,3,2,2,0,1,0,0,0,0,0
Argentina,IUL,P,281,210,202,196,264,232,178,145,93,66,39,19,12,2,1
Argentina,IUL,Q,3,2,2,3,0,2,1,0,0,0,0,0,0,0,0
Argentina,IUL,R,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0
Argentina,IUL,S,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Argentina,IUL,T,1,4,4,3,1,3,1,0,1,0,0,0,0,0,0
Argentina,IUL,U,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0
Argentina,IUL,V,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,IUL,Z,1,3,2,5,7,3,2,2,0,2,0,1,0,0,0
Argentina,EEM,A,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Argentina,EEM,B,3,4,2,1,1,1,0,1,0,0,0,0,0,0,0
Argentina,EEM,C,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0
Argentina,EEM,D,1,5,0,3,1,1,0,1,0,0,0,0,0,0,0
Argentina,EEM,E,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0
Argentina,EEM,F,37,28,34,22,18,21,21,10,10,9,2,2,0,0,0
Argentina,EEM,G,11,8,4,3,2,2,3,0,0,1,0,0,0,0,0
Argentina,EEM,H,18,8,18,10,9,19,15,16,6,3,3,0,0,0,0
Argentina,EEM,J,0,3,5,2,3,1,2,0,1,1,0,0,0,0,0
Argentina,EEM,K,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,EEM,L,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,EEM,M,23,7,2,3,0,1,4,1,0,0,0,0,0,0,0
Argentina,EEM,N,4,7,1,1,3,1,0,2,0,1,0,0,0,0,0
Argentina,EEM,P,63,99,93,97,80,77,101,114,78,69,41,20,14,2,1
Argentina,EEM,Q,4,0,1,0,2,2,0,0,0,0,0,0,0,0,0
Argentina,EEM,R,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Argentina,EEM,S,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,EEM,T,16,3,2,0,0,0,1,1,0,0,0,0,0,0,0
Argentina,EEM,U,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,EEM,V,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,EEM,Z,1,0,2,0,1,0,0,2,1,1,0,1,0,0,0
Argentina,INU,A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Argentina,INU,B,8,1,4,0,2,5,2,3,0,0,0,0,0,0,0
Argentina,INU,C,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Argentina,INU,D,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Argentina,INU,E,2,2,1,0,0,1,1,0,1,0,0,0,0,0,0
Argentina,INU,F,10,7,15,10,22,15,16,14,14,6,2,2,0,0,0
Argentina,INU,G,2,0,0,0,1,1,2,0,0,1,0,0,0,0,0
Argentina,INU,H,9,7,11,6,15,12,28,16,8,6,3,0,0,0,0
Argentina,INU,J,3,1,0,1,3,4,4,3,1,1,0,0,0,0,0
Argentina,INU,K,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,INU,L,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0
Argentina,INU,M,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
Argentina,INU,N,5,7,3,2,0,0,1,0,0,1,0,0,0,0,0
Argentina,INU,P,59,53,77,64,74,76,111,113,76,66,38,19,14,2,1
Argentina,INU,Q,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,INU,R,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Argentina,INU,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,INU,T,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Argentina,INU,U,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Argentina,INU,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,INU,Z,0,0,1,1,0,0,0,1,1,2,0,1,0,0,0
Argentina,OSU,A,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Argentina,OSU,B,4,2,1,0,3,1,1,2,0,0,0,0,0,0,0
Argentina,OSU,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,OSU,D,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,OSU,E,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Argentina,OSU,F,17,16,19,19,26,26,28,10,8,6,1,2,0,0,0
Argentina,OSU,G,1,1,6,2,1,1,1,0,0,0,0,0,0,0,0
Argentina,OSU,H,16,11,10,10,17,22,20,21,6,6,3,0,0,0,0
Argentina,OSU,J,3,6,3,1,6,6,3,2,0,0,0,0,0,0,0
Argentina,OSU,K,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
Argentina,OSU,L,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0
Argentina,OSU,M,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,OSU,N,37,8,3,3,2,0,1,1,0,0,0,0,0,0,0
Argentina,OSU,P,87,33,25,21,22,21,36,36,27,17,20,4,3,2,1
Argentina,OSU,Q,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,OSU,R,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Argentina,OSU,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
